match_date,group,team_1,team_2,team_1_score,team_2_score,source_note
2026-06-12,A,墨西哥,南非,2,0,百度体育赛程/用户截图核对
2026-06-12,A,韩国,捷克,2,1,百度体育赛程/用户截图核对
2026-06-13,B,加拿大,波黑,1,1,百度体育赛程/用户截图核对
2026-06-13,D,美国,巴拉圭,4,1,百度体育赛程/用户截图核对
2026-06-14,B,卡塔尔,瑞士,1,1,百度体育赛程/用户截图核对
2026-06-14,C,巴西,摩洛哥,1,1,百度体育赛程/用户截图核对
2026-06-14,C,海地,苏格兰,0,1,百度体育赛程/用户截图核对
2026-06-14,D,澳大利亚,土耳其,2,0,百度体育赛程/用户截图核对
2026-06-15,E,德国,库拉索,7,1,百度体育赛程/用户截图核对
2026-06-15,F,荷兰,日本,2,2,百度体育赛程/用户截图核对
2026-06-15,E,科特迪瓦,厄瓜多尔,1,0,百度体育赛程/用户截图核对
2026-06-15,F,瑞典,突尼斯,5,1,百度体育赛程/用户截图核对
