group,rank,team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,source_note
A,1,墨西哥,1,1,0,0,2,0,2,3,百度体育排名页/用户截图核对
A,2,韩国,1,1,0,0,2,1,1,3,百度体育排名页/用户截图核对
A,3,捷克,1,0,0,1,1,2,-1,0,百度体育排名页/用户截图核对
A,4,南非,1,0,0,1,0,2,-2,0,百度体育排名页/用户截图核对
B,1,瑞士,1,0,1,0,1,1,0,1,百度体育排名页/用户截图核对
B,2,加拿大,1,0,1,0,1,1,0,1,百度体育排名页/用户截图核对
B,3,卡塔尔,1,0,1,0,1,1,0,1,百度体育排名页/用户截图核对
B,4,波黑,1,0,1,0,1,1,0,1,百度体育排名页/用户截图核对
C,1,苏格兰,1,1,0,0,1,0,1,3,百度体育排名页/用户截图核对
C,2,摩洛哥,1,0,1,0,1,1,0,1,百度体育排名页/用户截图核对
C,3,巴西,1,0,1,0,1,1,0,1,百度体育排名页/用户截图核对
C,4,海地,1,0,0,1,0,1,-1,0,百度体育排名页/用户截图核对
D,1,美国,1,1,0,0,4,1,3,3,百度体育排名页/用户截图核对
D,2,澳大利亚,1,1,0,0,2,0,2,3,百度体育排名页/用户截图核对
D,3,土耳其,1,0,0,1,0,2,-2,0,百度体育排名页/用户截图核对
D,4,巴拉圭,1,0,0,1,1,4,-3,0,百度体育排名页/用户截图核对
E,1,德国,1,1,0,0,7,1,6,3,百度体育排名页/用户截图核对
E,2,科特迪瓦,1,1,0,0,1,0,1,3,百度体育排名页/用户截图核对
E,3,厄瓜多尔,1,0,0,1,0,1,-1,0,百度体育排名页/用户截图核对
E,4,库拉索,1,0,0,1,1,7,-6,0,百度体育排名页/用户截图核对
F,1,瑞典,1,1,0,0,5,1,4,3,百度体育排名页/用户截图核对
F,2,日本,1,0,1,0,2,2,0,1,百度体育排名页/用户截图核对
F,3,荷兰,1,0,1,0,2,2,0,1,百度体育排名页/用户截图核对
F,4,突尼斯,1,0,0,1,1,5,-4,0,百度体育排名页/用户截图核对
G,1,比利时,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
G,2,埃及,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
G,3,伊朗,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
G,4,新西兰,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
H,1,西班牙,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
H,2,佛得角,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
H,3,沙特阿拉伯,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
H,4,乌拉圭,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
I,1,法国,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
I,2,塞内加尔,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
I,3,伊拉克,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
I,4,挪威,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
J,1,阿根廷,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
J,2,阿尔及利亚,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
J,3,奥地利,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
J,4,约旦,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
K,1,葡萄牙,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
K,2,民主刚果,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
K,3,乌兹别克斯坦,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
K,4,哥伦比亚,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
L,1,英格兰,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
L,2,克罗地亚,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
L,3,加纳,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
L,4,巴拿马,0,0,0,0,0,0,0,0,百度体育排名页/用户截图核对
