"rank","team","probability","ci_lower","ci_upper"
1,"西班牙",0.2272,0.218987151878575,0.235412848121425
2,"阿根廷",0.2143,0.206257417335109,0.222342582664891
3,"法国",0.0846,0.0791456034784405,0.0900543965215595
4,"摩洛哥",0.0678,0.0628725132221791,0.0727274867778209
5,"英格兰",0.0604,0.0557307616408669,0.0650692383591331
6,"墨西哥",0.0522,0.0478403695723605,0.0565596304276395
7,"巴西",0.0406,0.0367317107111282,0.0444682892888718
8,"德国",0.0376,0.0338715544849898,0.0413284455150102
9,"哥伦比亚",0.0264,0.0232576951378964,0.0295423048621036
10,"加拿大",0.0251,0.0220339942337954,0.0281660057662046
