"team","group","round_of_32","round_of_16","champion"
"乌兹别克斯坦","K",0.3701,0.1374,5e-04
"乌拉圭","H",0.7268,0.2214,0.0045
"伊拉克","I",0.1046,0.0217,0
"伊朗","G",0.6967,0.4086,0.0112
"佛得角","H",0.4893,0.0577,0
"克罗地亚","L",0.6929,0.2619,0.0021
"加拿大","B",1,0.6888,0.0251
"加纳","L",0.6633,0.1118,1e-04
"南非","A",0.199,0.0488,0
"卡塔尔","B",0.3804,0.0444,0
"厄瓜多尔","E",0.802,0.3493,0.006
"哥伦比亚","K",0.9844,0.7265,0.0264
"土耳其","D",0.126,0.0323,3e-04
"埃及","G",0.7473,0.343,0.0024
"塞内加尔","I",0.5937,0.2324,0.0033
"奥地利","J",0.9157,0.3031,0.0063
"巴拉圭","D",0.649,0.1716,3e-04
"巴拿马","L",0.2809,0.0759,1e-04
"巴西","C",1,0.6156,0.0406
"库拉索","E",0.0478,0.0048,0
"德国","E",0.9981,0.7343,0.0376
"挪威","I",0.9859,0.5543,0.0168
"捷克","A",0.1171,0.0298,0
"摩洛哥","C",1,0.6525,0.0678
"新西兰","G",0.3236,0.0718,0
"日本","F",0.9502,0.4315,0.0216
"比利时","G",0.8713,0.54,0.0173
"民主刚果","K",0.5123,0.1935,4e-04
"沙特阿拉伯","H",0.438,0.0662,0
"法国","I",0.9955,0.7554,0.0846
"波黑","B",0.3264,0.0333,0
"海地","C",0.0083,0.0014,0
"澳大利亚","D",0.9204,0.44,0.0027
"瑞典","F",0.9166,0.1432,1e-04
"瑞士","B",1,0.5714,0.008
"科特迪瓦","E",0.9784,0.4719,0.0037
"突尼斯","F",0.0753,0.0123,0
"约旦","J",0.1148,0.0229,0
"美国","D",1,0.6437,0.012
"苏格兰","C",0.76,0.1598,4e-04
"英格兰","L",0.9984,0.7604,0.0604
"荷兰","F",0.9384,0.3971,0.0142
"葡萄牙","K",0.7717,0.5161,0.0194
"西班牙","H",0.9741,0.7458,0.2272
"阿尔及利亚","J",0.6277,0.2319,0.0064
"阿根廷","J",0.9992,0.8031,0.2143
"韩国","A",0.9284,0.3952,0.0037
"墨西哥","A",1,0.7642,0.0522
