"team","group_exit_0617","round_of_32_0617","round_of_16_0617","quarter_final_0617","semi_final_0617","final_0617","champion_0617","group_exit_0619","round_of_32_0619","round_of_16_0619","quarter_final_0619","semi_final_0619","final_0619","champion_0619","round_of_32_change","round_of_16_change","quarter_final_change","semi_final_change","final_change","champion_change"
"加拿大",1,0.892,0.545,0.285,0.086,0.035,0.014,1,1,0.726,0.415,0.16,0.082,0.04,0.108,0.181,0.13,0.074,0.047,0.026
"比利时",1,0.864,0.549,0.267,0.114,0.036,0.011,1,0.852,0.542,0.28,0.116,0.058,0.023,-0.012,-0.00700000000000001,0.013,0.002,0.022,0.012
"摩洛哥",1,0.949,0.587,0.37,0.233,0.128,0.063,1,0.952,0.607,0.42,0.212,0.107,0.053,0.003,0.02,0.05,-0.021,-0.021,-0.01
"法国",1,0.995,0.764,0.459,0.283,0.15,0.088,1,0.99,0.706,0.432,0.289,0.159,0.078,-0.005,-0.058,-0.027,0.006,0.00900000000000001,-0.01
"阿根廷",1,1,0.822,0.682,0.548,0.363,0.224,1,0.998,0.81,0.659,0.528,0.353,0.217,-0.002,-0.0119999999999999,-0.023,-0.02,-0.01,-0.00700000000000001
"韩国",1,0.94,0.533,0.209,0.078,0.021,0.01,1,0.931,0.396,0.149,0.051,0.012,0.003,-0.0089999999999999,-0.137,-0.06,-0.027,-0.009,-0.007
"克罗地亚",1,0.818,0.38,0.127,0.049,0.012,0.007,1,0.663,0.276,0.08,0.028,0.007,0.002,-0.155,-0.104,-0.047,-0.021,-0.005,-0.005
"英格兰",1,0.974,0.681,0.382,0.227,0.106,0.055,1,0.999,0.746,0.411,0.253,0.133,0.06,0.025,0.065,0.029,0.026,0.027,0.005
"墨西哥",1,0.994,0.701,0.419,0.214,0.126,0.057,1,1,0.748,0.425,0.246,0.121,0.062,0.006,0.047,0.006,0.032,-0.005,0.005
"葡萄牙",1,0.888,0.595,0.322,0.14,0.064,0.02,1,0.746,0.516,0.246,0.115,0.05,0.016,-0.142,-0.079,-0.076,-0.025,-0.014,-0.004
"巴西",1,0.932,0.538,0.314,0.161,0.071,0.026,1,0.936,0.531,0.317,0.15,0.076,0.029,0.004,-0.00700000000000001,0.003,-0.011,0.005,0.003
"德国",1,0.998,0.641,0.349,0.185,0.086,0.035,1,0.997,0.689,0.361,0.199,0.086,0.032,-0.001,0.0479999999999999,0.012,0.014,0,-0.003
"荷兰",1,0.924,0.472,0.267,0.124,0.051,0.021,1,0.955,0.453,0.241,0.1,0.041,0.018,0.0309999999999999,-0.019,-0.026,-0.024,-0.01,-0.003
"伊朗",1,0.707,0.426,0.19,0.071,0.035,0.011,1,0.732,0.418,0.187,0.079,0.033,0.014,0.025,-0.00800000000000001,-0.003,0.00800000000000001,-0.002,0.003
"挪威",1,0.98,0.57,0.274,0.131,0.05,0.016,1,0.981,0.539,0.258,0.12,0.042,0.019,0.001,-0.0309999999999999,-0.016,-0.011,-0.008,0.003
"西班牙",1,0.974,0.729,0.572,0.476,0.331,0.23,1,0.972,0.718,0.564,0.472,0.336,0.232,-0.002,-0.011,-0.00800000000000001,-0.004,0.005,0.002
"乌拉圭",1,0.714,0.211,0.092,0.036,0.018,0.005,1,0.762,0.235,0.104,0.05,0.017,0.007,0.048,0.024,0.012,0.014,-0.000999999999999997,0.002
"埃及",1,0.747,0.329,0.1,0.019,0.006,0.002,1,0.757,0.359,0.108,0.021,0.005,0,0.01,0.03,0.00799999999999999,0.002,-0.001,-0.002
"巴拿马",1,0.66,0.228,0.078,0.021,0.004,0.002,1,0.272,0.06,0.015,0.005,0.001,0,-0.388,-0.168,-0.063,-0.016,-0.003,-0.002
"日本",1,0.937,0.498,0.287,0.149,0.076,0.03,1,0.94,0.484,0.287,0.138,0.058,0.028,0.00299999999999989,-0.014,0,-0.011,-0.018,-0.002
"哥伦比亚",1,0.846,0.572,0.293,0.113,0.048,0.025,1,0.982,0.74,0.379,0.16,0.065,0.024,0.136,0.168,0.086,0.047,0.017,-0.001
"乌兹别克斯坦",1,0.552,0.221,0.087,0.027,0.009,0.001,1,0.396,0.162,0.037,0.015,0.004,0,-0.156,-0.059,-0.05,-0.012,-0.005,-0.001
"厄瓜多尔",1,0.78,0.367,0.18,0.065,0.024,0.006,1,0.773,0.309,0.132,0.043,0.017,0.005,-0.00700000000000001,-0.058,-0.048,-0.022,-0.007,-0.001
"土耳其",1,0.47,0.15,0.042,0.012,0.004,0,1,0.486,0.182,0.051,0.009,0.004,0.001,0.016,0.032,0.00899999999999999,-0.003,0,0.001
"塞内加尔",1,0.572,0.239,0.094,0.035,0.011,0.003,1,0.588,0.219,0.082,0.027,0.005,0.002,0.016,-0.02,-0.012,-0.008,-0.006,-0.001
"奥地利",1,0.889,0.284,0.129,0.054,0.018,0.004,1,0.902,0.297,0.14,0.054,0.009,0.003,0.013,0.013,0.011,0,-0.009,-0.001
"海地",1,0.071,0.015,0.004,0.002,0.002,0.001,1,0.093,0.016,0.006,0.001,0,0,0.022,0.001,0.002,-0.001,-0.002,-0.001
"科特迪瓦",1,0.974,0.43,0.159,0.062,0.016,0.004,1,0.976,0.417,0.147,0.036,0.013,0.003,0.002,-0.013,-0.012,-0.026,-0.003,-0.001
"阿尔及利亚",1,0.628,0.217,0.118,0.047,0.015,0.004,1,0.64,0.215,0.114,0.051,0.021,0.005,0.012,-0.002,-0.00399999999999999,0.004,0.006,0.001
"澳大利亚",1,0.973,0.59,0.252,0.1,0.04,0.013,1,0.971,0.61,0.246,0.085,0.031,0.012,-0.002,0.02,-0.006,-0.015,-0.009,-0.000999999999999999
"伊拉克",1,0.097,0.033,0.009,0.001,0,0,1,0.109,0.02,0.005,0,0,0,0.012,-0.013,-0.004,-0.001,0,0
"佛得角",1,0.483,0.048,0.005,0,0,0,1,0.493,0.05,0.013,0,0,0,0.01,0.002,0.008,0,0,0
"加纳",1,0.188,0.028,0.004,0.001,0,0,1,0.698,0.109,0.019,0.005,0,0,0.51,0.081,0.015,0.004,0,0
"南非",1,0.25,0.067,0.013,0.002,0,0,1,0.196,0.038,0.006,0.001,0,0,-0.054,-0.029,-0.007,-0.001,0,0
"卡塔尔",1,0.456,0.075,0.005,0,0,0,1,0.368,0.048,0.007,0,0,0,-0.088,-0.027,0.002,0,0,0
"巴拉圭",1,0.226,0.049,0.01,0.003,0.001,0,1,0.261,0.076,0.017,0.004,0,0,0.035,0.027,0.007,0.001,-0.001,0
"库拉索",1,0.05,0.006,0,0,0,0,1,0.052,0.003,0,0,0,0,0.00199999999999999,-0.003,0,0,0,0
