"team","round_of_32_before","round_of_16_before","quarter_final_before","semi_final_before","final_before","champion_before","round_of_32_after","round_of_16_after","quarter_final_after","semi_final_after","final_after","champion_after","round_of_32_change","round_of_16_change","quarter_final_change","semi_final_change","final_change","champion_change"
"澳大利亚",0.9795,0.5896,0.2401,0.0856,0.0315,0.0112,0.9195,0.428,0.1051,0.0439,0.0123,0.0031,-0.06,-0.1616,-0.135,-0.0417,-0.0192,-0.0081
"苏格兰",0.792,0.1989,0.0607,0.0154,0.0032,2e-04,0.7333,0.1609,0.0455,0.0104,0.0021,4e-04,-0.0587000000000001,-0.038,-0.0152,-0.005,-0.0011,2e-04
"摩洛哥",0.9508,0.6105,0.3987,0.2224,0.1147,0.0551,0.9999,0.6573,0.4418,0.2518,0.1334,0.0659,0.0491,0.0468,0.0431,0.0294,0.0187,0.0108
"巴拉圭",0.245,0.0598,0.0112,0.0019,3e-04,1e-04,0.2861,0.0721,0.0129,0.0023,4e-04,1e-04,0.0411,0.0123,0.0017,4e-04,1e-04,0
"土耳其",0.4986,0.1665,0.0418,0.0104,0.0022,6e-04,0.4716,0.1502,0.0388,0.0121,0.0031,5e-04,-0.027,-0.0163,-0.003,0.0017,9e-04,-9.99999999999999e-05
"美国",0.9814,0.514,0.1872,0.0563,0.0172,0.0048,1,0.6407,0.323,0.1003,0.0367,0.0096,0.0186,0.1267,0.1358,0.044,0.0195,0.0048
"厄瓜多尔",0.7919,0.3374,0.1471,0.053,0.019,0.0062,0.8064,0.348,0.1404,0.0484,0.0157,0.0052,0.0145,0.0106,-0.00670000000000001,-0.0046,-0.0033,-0.001
"南非",0.1952,0.0462,0.0071,8e-04,1e-04,0,0.2074,0.0498,0.0082,0.0016,4e-04,1e-04,0.0122,0.0036,0.0011,8e-04,3e-04,1e-04
"卡塔尔",0.3773,0.044,0.005,3e-04,1e-04,0,0.3662,0.0415,0.004,5e-04,0,0,-0.0111,-0.0025,-0.001,2e-04,-1e-04,0
"伊朗",0.7016,0.4091,0.1834,0.068,0.0271,0.0111,0.7109,0.4116,0.1827,0.0711,0.0289,0.0083,0.00929999999999997,0.0025,-0.000700000000000006,0.00309999999999999,0.0018,-0.0028
"加纳",0.6799,0.1119,0.0131,0.0012,4e-04,0,0.6722,0.1082,0.0153,0.0021,0,0,-0.00769999999999993,-0.0037,0.0022,9e-04,-4e-04,0
"葡萄牙",0.7679,0.5132,0.2228,0.1052,0.0446,0.0184,0.7754,0.5195,0.2232,0.1088,0.0452,0.0188,0.00749999999999995,0.00629999999999997,0.000400000000000011,0.00359999999999999,0.000599999999999996,0.000400000000000001
"埃及",0.7501,0.3287,0.1048,0.0287,0.009,0.0028,0.7568,0.3354,0.1043,0.0293,0.0093,0.0022,0.00670000000000004,0.00669999999999998,-5e-04,6e-04,3e-04,-6e-04
"比利时",0.8701,0.5388,0.2586,0.102,0.0471,0.0196,0.8638,0.5457,0.2599,0.1032,0.0414,0.0173,-0.00629999999999997,0.00690000000000002,0.00130000000000002,0.00120000000000001,-0.0057,-0.0023
"海地",0.0947,0.0165,0.0036,8e-04,1e-04,0,0.0888,0.0162,0.0044,5e-04,0,0,-0.0059,-0.000300000000000002,8e-04,-3e-04,-1e-04,0
"突尼斯",0.0808,0.0117,0.0025,2e-04,0,0,0.0759,0.0108,0.0025,3e-04,0,0,-0.0049,-9e-04,0,1e-04,0,0
"塞内加尔",0.5879,0.2422,0.1014,0.0313,0.0106,0.0029,0.592,0.2429,0.0974,0.0299,0.0087,0.0028,0.00409999999999999,0.000700000000000006,-0.004,-0.0014,-0.0019,-9.99999999999998e-05
"巴西",0.9273,0.5405,0.3291,0.1722,0.0813,0.0335,0.9314,0.5393,0.325,0.1613,0.0734,0.031,0.00409999999999999,-0.00119999999999998,-0.00409999999999999,-0.0109,-0.00789999999999999,-0.0025
"巴拿马",0.2668,0.0733,0.0162,0.0032,6e-04,0,0.2708,0.0719,0.0138,0.0033,9e-04,1e-04,0.004,-0.0014,-0.0024,9.99999999999998e-05,3e-04,1e-04
"瑞典",0.9118,0.1479,0.0332,0.0045,9e-04,2e-04,0.9156,0.1432,0.0303,0.0043,9e-04,0,0.00379999999999991,-0.00470000000000001,-0.0029,-2e-04,0,-2e-04
"捷克",0.1227,0.0311,0.007,0.0013,3e-04,2e-04,0.1264,0.0315,0.0075,0.0014,3e-04,0,0.00370000000000001,0.000400000000000001,5e-04,1e-04,0,-2e-04
"佛得角",0.4855,0.0542,0.0133,0.0018,2e-04,1e-04,0.4888,0.0557,0.0128,0.001,0,0,0.00330000000000003,0.0015,-0.000499999999999999,-8e-04,-2e-04,-1e-04
"荷兰",0.9347,0.4416,0.2395,0.1042,0.0433,0.0157,0.9379,0.4138,0.2349,0.1017,0.0423,0.0157,0.00319999999999998,-0.0278,-0.00459999999999999,-0.0025,-0.001,0
"乌兹别克斯坦",0.3753,0.1433,0.0341,0.0129,0.0032,3e-04,0.3725,0.1366,0.0341,0.0122,0.0029,5e-04,-0.00280000000000002,-0.00670000000000001,0,-0.000699999999999999,-3e-04,2e-04
"西班牙",0.9704,0.7476,0.6026,0.4988,0.3511,0.2393,0.9729,0.7313,0.5958,0.4935,0.3477,0.2372,0.00249999999999995,-0.0163000000000001,-0.00680000000000003,-0.00530000000000003,-0.00340000000000001,-0.00210000000000002
"克罗地亚",0.6887,0.2715,0.0735,0.0278,0.0074,0.0012,0.691,0.2684,0.0748,0.0273,0.0078,0.0017,0.00229999999999997,-0.00309999999999999,0.00130000000000001,-0.000499999999999997,0.000399999999999999,5e-04
"奥地利",0.9091,0.2957,0.1371,0.0532,0.0159,0.0049,0.9068,0.2949,0.1399,0.0539,0.0179,0.0054,-0.00229999999999997,-0.000800000000000023,0.0028,0.000700000000000006,0.002,5e-04
"新西兰",0.3248,0.0668,0.0098,0.0013,1e-04,1e-04,0.327,0.0737,0.0107,0.001,1e-04,0,0.00220000000000004,0.0069,9e-04,-3e-04,0,-1e-04
"库拉索",0.0449,0.0035,2e-04,0,0,0,0.0471,0.0055,4e-04,1e-04,0,0,0.0022,0.002,2e-04,1e-04,0,0
"科特迪瓦",0.978,0.4545,0.1563,0.0518,0.0149,0.0041,0.9759,0.4753,0.1596,0.0585,0.0174,0.0036,-0.00209999999999999,0.0208,0.0033,0.0067,0.0025,-5e-04
"日本",0.954,0.4872,0.2915,0.1397,0.0617,0.0261,0.952,0.4568,0.2682,0.1257,0.0559,0.0231,-0.002,-0.0304,-0.0233,-0.014,-0.0058,-0.003
"哥伦比亚",0.9823,0.721,0.3706,0.149,0.063,0.025,0.9804,0.7215,0.3686,0.1464,0.0662,0.0269,-0.0018999999999999,0.000500000000000056,-0.002,-0.00259999999999999,0.00319999999999999,0.0019
"法国",0.9972,0.7439,0.4638,0.292,0.1575,0.08,0.9955,0.758,0.4726,0.2974,0.1648,0.0838,-0.00169999999999992,0.0141,0.00880000000000003,0.00540000000000002,0.0073,0.0038
