"team","round_of_32_before","round_of_16_before","quarter_final_before","semi_final_before","final_before","champion_before","round_of_32_after","round_of_16_after","quarter_final_after","semi_final_after","final_after","champion_after","round_of_32_change","round_of_16_change","quarter_final_change","semi_final_change","final_change","champion_change"
"巴拉圭",0.2861,0.0721,0.0129,0.0023,4e-04,1e-04,0.649,0.1716,0.0351,0.0084,0.0022,3e-04,0.3629,0.0995,0.0222,0.0061,0.0018,2e-04
"土耳其",0.4716,0.1502,0.0388,0.0121,0.0031,5e-04,0.126,0.0323,0.0106,0.0035,9e-04,3e-04,-0.3456,-0.1179,-0.0282,-0.0086,-0.0022,-2e-04
"海地",0.0888,0.0162,0.0044,5e-04,0,0,0.0083,0.0014,3e-04,1e-04,0,0,-0.0805,-0.0148,-0.0041,-4e-04,0,0
"巴西",0.9314,0.5393,0.325,0.1613,0.0734,0.031,1,0.6156,0.3843,0.1984,0.094,0.0406,0.0686,0.0763,0.0593,0.0371,0.0206,0.0096
"苏格兰",0.7333,0.1609,0.0455,0.0104,0.0021,4e-04,0.76,0.1598,0.0441,0.0103,0.0018,4e-04,0.0267000000000001,-0.00109999999999999,-0.0014,-9.99999999999994e-05,-3e-04,0
"波黑",0.3415,0.0352,0.0041,3e-04,1e-04,0,0.3264,0.0333,0.003,3e-04,0,0,-0.0151,-0.0019,-0.0011,0,-1e-04,0
"伊朗",0.7109,0.4116,0.1827,0.0711,0.0289,0.0083,0.6967,0.4086,0.1783,0.0688,0.0282,0.0112,-0.0142,-0.003,-0.00440000000000002,-0.0023,-0.000699999999999999,0.0029
"卡塔尔",0.3662,0.0415,0.004,5e-04,0,0,0.3804,0.0444,0.0067,2e-04,0,0,0.0142,0.0029,0.0027,-3e-04,0,0
"巴拿马",0.2708,0.0719,0.0138,0.0033,9e-04,1e-04,0.2809,0.0759,0.0166,0.0041,6e-04,1e-04,0.0101,0.00399999999999999,0.0028,8e-04,-3e-04,0
"埃及",0.7568,0.3354,0.1043,0.0293,0.0093,0.0022,0.7473,0.343,0.1058,0.0309,0.0095,0.0024,-0.00950000000000006,0.00760000000000005,0.0015,0.0016,0.000200000000000001,2e-04
"捷克",0.1264,0.0315,0.0075,0.0014,3e-04,0,0.1171,0.0298,0.007,0.001,0,0,-0.00930000000000002,-0.0017,-5e-04,-4e-04,-3e-04,0
"加纳",0.6722,0.1082,0.0153,0.0021,0,0,0.6633,0.1118,0.0134,0.0022,2e-04,1e-04,-0.00890000000000002,0.00359999999999999,-0.0019,1e-04,2e-04,1e-04
"奥地利",0.9068,0.2949,0.1399,0.0539,0.0179,0.0054,0.9157,0.3031,0.1462,0.0584,0.0178,0.0063,0.00889999999999991,0.00819999999999999,0.0063,0.0045,-9.99999999999994e-05,9e-04
"南非",0.2074,0.0498,0.0082,0.0016,4e-04,1e-04,0.199,0.0488,0.0077,0.002,4e-04,0,-0.00839999999999999,-0.000999999999999994,-5e-04,4e-04,0,-1e-04
"韩国",0.9201,0.3883,0.1401,0.0438,0.0114,0.003,0.9284,0.3952,0.1354,0.042,0.0116,0.0037,0.00829999999999997,0.00690000000000002,-0.00470000000000001,-0.0018,0.000199999999999999,7e-04
"比利时",0.8638,0.5457,0.2599,0.1032,0.0414,0.0173,0.8713,0.54,0.2531,0.1025,0.0426,0.0173,0.00749999999999995,-0.00569999999999993,-0.00680000000000003,-0.000700000000000006,0.0012,0
"阿尔及利亚",0.6342,0.2344,0.1215,0.0506,0.0174,0.0058,0.6277,0.2319,0.1184,0.0461,0.0178,0.0064,-0.00649999999999995,-0.0025,-0.00309999999999999,-0.0045,0.000400000000000001,0.000600000000000001
"乌拉圭",0.7325,0.2375,0.1186,0.048,0.0162,0.0046,0.7268,0.2214,0.1141,0.0463,0.0152,0.0045,-0.00570000000000004,-0.0161,-0.0045,-0.0017,-0.000999999999999999,-1e-04
"厄瓜多尔",0.8064,0.348,0.1404,0.0484,0.0157,0.0052,0.802,0.3493,0.1448,0.0521,0.019,0.006,-0.00439999999999996,0.00130000000000002,0.00440000000000002,0.0037,0.0033,8e-04
"哥伦比亚",0.9804,0.7215,0.3686,0.1464,0.0662,0.0269,0.9844,0.7265,0.3719,0.1519,0.0665,0.0264,0.004,0.005,0.00330000000000003,0.0055,0.000300000000000009,-5e-04
"葡萄牙",0.7754,0.5195,0.2232,0.1088,0.0452,0.0188,0.7717,0.5161,0.2252,0.1073,0.0483,0.0194,-0.00369999999999993,-0.00339999999999996,0.002,-0.00149999999999999,0.00310000000000001,6e-04
"新西兰",0.327,0.0737,0.0107,0.001,1e-04,0,0.3236,0.0718,0.0105,0.0012,0,0,-0.00340000000000001,-0.0019,-0.000199999999999999,2e-04,-1e-04,0
"沙特阿拉伯",0.4408,0.0683,0.0167,0.0025,3e-04,0,0.438,0.0662,0.0183,0.0029,3e-04,0,-0.00280000000000002,-0.0021,0.0016,4e-04,0,0
"约旦",0.1121,0.0237,0.0056,8e-04,1e-04,1e-04,0.1148,0.0229,0.0051,2e-04,1e-04,0,0.00269999999999999,-0.000799999999999999,-5e-04,-6e-04,0,-1e-04
"科特迪瓦",0.9759,0.4753,0.1596,0.0585,0.0174,0.0036,0.9784,0.4719,0.1621,0.0551,0.0149,0.0037,0.00250000000000006,-0.00340000000000001,0.0025,-0.0034,-0.0025,1e-04
"乌兹别克斯坦",0.3725,0.1366,0.0341,0.0122,0.0029,5e-04,0.3701,0.1374,0.0349,0.0111,0.0031,5e-04,-0.00240000000000001,0.000799999999999995,0.000800000000000002,-0.0011,2e-04,0
"克罗地亚",0.691,0.2684,0.0748,0.0273,0.0078,0.0017,0.6929,0.2619,0.0722,0.0279,0.0085,0.0021,0.00190000000000001,-0.00650000000000001,-0.0026,6e-04,0.000700000000000001,4e-04
"日本",0.952,0.4568,0.2682,0.1257,0.0559,0.0231,0.9502,0.4315,0.2518,0.1186,0.0552,0.0216,-0.00179999999999991,-0.0253,-0.0164,-0.00710000000000001,-0.000699999999999999,-0.0015
"塞内加尔",0.592,0.2429,0.0974,0.0299,0.0087,0.0028,0.5937,0.2324,0.0932,0.0291,0.0102,0.0033,0.00170000000000003,-0.0105,-0.0042,-0.000799999999999999,0.0015,5e-04
"伊拉克",0.1059,0.0227,0.006,8e-04,1e-04,0,0.1046,0.0217,0.0047,8e-04,1e-04,0,-0.0013,-0.001,-0.0013,0,0,0
"西班牙",0.9729,0.7313,0.5958,0.4935,0.3477,0.2372,0.9741,0.7458,0.5959,0.4892,0.3376,0.2272,0.00119999999999998,0.0145000000000001,9.9999999999989e-05,-0.00429999999999997,-0.0101,-0.00999999999999998
"瑞典",0.9156,0.1432,0.0303,0.0043,9e-04,0,0.9166,0.1432,0.0314,0.0055,6e-04,1e-04,0.001,0,0.0011,0.0012,-3e-04,1e-04
"澳大利亚",0.9195,0.428,0.1051,0.0439,0.0123,0.0031,0.9204,0.44,0.1033,0.0391,0.0111,0.0027,0.000900000000000012,0.012,-0.0018,-0.0048,-0.0012,-4e-04
"挪威",0.9867,0.5638,0.2574,0.122,0.0484,0.0189,0.9859,0.5543,0.2496,0.108,0.0444,0.0168,-0.000800000000000023,-0.00949999999999995,-0.00780000000000003,-0.014,-0.004,-0.0021
"库拉索",0.0471,0.0055,4e-04,1e-04,0,0,0.0478,0.0048,5e-04,0,0,0,0.000699999999999999,-7e-04,1e-04,-1e-04,0,0
"民主刚果",0.5129,0.1918,0.0422,0.0103,0.0016,3e-04,0.5123,0.1935,0.0406,0.0113,0.0029,4e-04,-0.000600000000000045,0.00170000000000001,-0.0016,0.000999999999999999,0.0013,1e-04
"突尼斯",0.0759,0.0108,0.0025,3e-04,0,0,0.0753,0.0123,0.0025,2e-04,0,0,-0.000599999999999989,0.0015,0,-1e-04,0,0
"荷兰",0.9379,0.4138,0.2349,0.1017,0.0423,0.0157,0.9384,0.3971,0.221,0.0973,0.0397,0.0142,0.000500000000000056,-0.0167,-0.0139,-0.0044,-0.0026,-0.0015
"佛得角",0.4888,0.0557,0.0128,0.001,0,0,0.4893,0.0577,0.0123,0.0026,7e-04,0,5e-04,0.002,-5e-04,0.0016,7e-04,0
"英格兰",0.9979,0.7602,0.406,0.2256,0.1236,0.0605,0.9984,0.7604,0.4095,0.2307,0.1238,0.0604,0.000499999999999945,0.000199999999999978,0.00349999999999995,0.00509999999999999,0.000199999999999992,-9.99999999999959e-05
"摩洛哥",0.9999,0.6573,0.4418,0.2518,0.1334,0.0659,1,0.6525,0.4458,0.2475,0.1305,0.0678,9.9999999999989e-05,-0.00480000000000003,0.00399999999999995,-0.00430000000000003,-0.00289999999999999,0.0019
"阿根廷",0.9991,0.8017,0.6668,0.5174,0.3371,0.2077,0.9992,0.8031,0.6711,0.5205,0.3405,0.2143,9.9999999999989e-05,0.00140000000000007,0.00430000000000008,0.00309999999999999,0.00340000000000001,0.0066
