"team","group_exit","round_of_32","round_of_16","quarter_final","semi_final","final","champion"
"墨西哥",1,1,0.7642,0.4368,0.2369,0.1138,0.0522
"南非",1,0.199,0.0488,0.0077,0.002,4e-04,0
"韩国",1,0.9284,0.3952,0.1354,0.042,0.0116,0.0037
"捷克",1,0.1171,0.0298,0.007,0.001,0,0
"加拿大",1,1,0.6888,0.3986,0.1591,0.0656,0.0251
"波黑",1,0.3264,0.0333,0.003,3e-04,0,0
"卡塔尔",1,0.3804,0.0444,0.0067,2e-04,0,0
"瑞士",1,1,0.5714,0.2355,0.0783,0.0276,0.008
"巴西",1,1,0.6156,0.3843,0.1984,0.094,0.0406
"摩洛哥",1,1,0.6525,0.4458,0.2475,0.1305,0.0678
"海地",1,0.0083,0.0014,3e-04,1e-04,0,0
"苏格兰",1,0.76,0.1598,0.0441,0.0103,0.0018,4e-04
"美国",1,1,0.6437,0.329,0.1007,0.0397,0.012
"巴拉圭",1,0.649,0.1716,0.0351,0.0084,0.0022,3e-04
"澳大利亚",1,0.9204,0.44,0.1033,0.0391,0.0111,0.0027
"土耳其",1,0.126,0.0323,0.0106,0.0035,9e-04,3e-04
"德国",1,0.9981,0.7343,0.3682,0.1972,0.0891,0.0376
"库拉索",1,0.0478,0.0048,5e-04,0,0,0
"科特迪瓦",1,0.9784,0.4719,0.1621,0.0551,0.0149,0.0037
"厄瓜多尔",1,0.802,0.3493,0.1448,0.0521,0.019,0.006
"荷兰",1,0.9384,0.3971,0.221,0.0973,0.0397,0.0142
"日本",1,0.9502,0.4315,0.2518,0.1186,0.0552,0.0216
"瑞典",1,0.9166,0.1432,0.0314,0.0055,6e-04,1e-04
"突尼斯",1,0.0753,0.0123,0.0025,2e-04,0,0
"比利时",1,0.8713,0.54,0.2531,0.1025,0.0426,0.0173
"埃及",1,0.7473,0.343,0.1058,0.0309,0.0095,0.0024
"伊朗",1,0.6967,0.4086,0.1783,0.0688,0.0282,0.0112
"新西兰",1,0.3236,0.0718,0.0105,0.0012,0,0
"西班牙",1,0.9741,0.7458,0.5959,0.4892,0.3376,0.2272
"佛得角",1,0.4893,0.0577,0.0123,0.0026,7e-04,0
"沙特阿拉伯",1,0.438,0.0662,0.0183,0.0029,3e-04,0
"乌拉圭",1,0.7268,0.2214,0.1141,0.0463,0.0152,0.0045
"法国",1,0.9955,0.7554,0.4736,0.2922,0.1634,0.0846
"塞内加尔",1,0.5937,0.2324,0.0932,0.0291,0.0102,0.0033
"伊拉克",1,0.1046,0.0217,0.0047,8e-04,1e-04,0
"挪威",1,0.9859,0.5543,0.2496,0.108,0.0444,0.0168
"阿根廷",1,0.9992,0.8031,0.6711,0.5205,0.3405,0.2143
"阿尔及利亚",1,0.6277,0.2319,0.1184,0.0461,0.0178,0.0064
"奥地利",1,0.9157,0.3031,0.1462,0.0584,0.0178,0.0063
"约旦",1,0.1148,0.0229,0.0051,2e-04,1e-04,0
"葡萄牙",1,0.7717,0.5161,0.2252,0.1073,0.0483,0.0194
"民主刚果",1,0.5123,0.1935,0.0406,0.0113,0.0029,4e-04
"乌兹别克斯坦",1,0.3701,0.1374,0.0349,0.0111,0.0031,5e-04
"哥伦比亚",1,0.9844,0.7265,0.3719,0.1519,0.0665,0.0264
"英格兰",1,0.9984,0.7604,0.4095,0.2307,0.1238,0.0604
"克罗地亚",1,0.6929,0.2619,0.0722,0.0279,0.0085,0.0021
"加纳",1,0.6633,0.1118,0.0134,0.0022,2e-04,1e-04
"巴拿马",1,0.2809,0.0759,0.0166,0.0041,6e-04,1e-04
