"match_id","stage","side","team","slot_count","win_count","slot_probability","win_probability_given_slot","win_contribution"
"M073","round_of_32","team_1","韩国",7387,3134,0.7387,0.42425883308515,0.3134
"M073","round_of_32","team_1","南非",1845,453,0.1845,0.245528455284553,0.0453
"M073","round_of_32","team_1","捷克",404,113,0.0404,0.27970297029703,0.0113
"M073","round_of_32","team_1","墨西哥",364,247,0.0364,0.678571428571429,0.0247
"M073","round_of_32","team_2","瑞士",7173,4118,0.7173,0.574097309354524,0.4118
"M073","round_of_32","team_2","加拿大",2756,1924,0.2756,0.69811320754717,0.1924
"M073","round_of_32","team_2","波黑",68,9,0.0068,0.132352941176471,9e-04
"M073","round_of_32","team_2","卡塔尔",3,2,3e-04,0.666666666666667,2e-04
"M074","round_of_32","team_1","德国",6488,5361,0.6488,0.826294697903822,0.5361
"M074","round_of_32","team_1","科特迪瓦",3161,2271,0.3161,0.718443530528314,0.2271
"M074","round_of_32","team_1","厄瓜多尔",340,256,0.034,0.752941176470588,0.0256
"M074","round_of_32","team_1","库拉索",11,5,0.0011,0.454545454545455,5e-04
"M074","round_of_32","team_2","卡塔尔",2504,255,0.2504,0.101837060702875,0.0255
"M074","round_of_32","team_2","波黑",2238,202,0.2238,0.0902591599642538,0.0202
"M074","round_of_32","team_2","苏格兰",1519,402,0.1519,0.264647794601712,0.0402
"M074","round_of_32","team_2","韩国",848,325,0.0848,0.383254716981132,0.0325
"M074","round_of_32","team_2","土耳其",609,180,0.0609,0.295566502463054,0.018
"M074","round_of_32","team_2","捷克",525,108,0.0525,0.205714285714286,0.0108
"M074","round_of_32","team_2","澳大利亚",441,184,0.0441,0.417233560090703,0.0184
"M074","round_of_32","team_2","巴西",373,197,0.0373,0.528150134048257,0.0197
"M074","round_of_32","team_2","巴拉圭",313,76,0.0313,0.242811501597444,0.0076
"M074","round_of_32","team_2","海地",207,44,0.0207,0.21256038647343,0.0044
"M074","round_of_32","team_2","南非",141,28,0.0141,0.198581560283688,0.0028
"M074","round_of_32","team_2","瑞典",114,21,0.0114,0.184210526315789,0.0021
"M074","round_of_32","team_2","摩洛哥",68,44,0.0068,0.647058823529412,0.0044
"M074","round_of_32","team_2","瑞士",44,18,0.0044,0.409090909090909,0.0018
"M074","round_of_32","team_2","荷兰",22,10,0.0022,0.454545454545455,0.001
"M074","round_of_32","team_2","日本",20,10,0.002,0.5,0.001
"M074","round_of_32","team_2","突尼斯",11,1,0.0011,0.0909090909090909,1e-04
"M074","round_of_32","team_2","美国",3,2,3e-04,0.666666666666667,2e-04
"M075","round_of_32","team_1","日本",4553,2437,0.4553,0.535251482538985,0.2437
"M075","round_of_32","team_1","荷兰",3973,1989,0.3973,0.500629247420086,0.1989
"M075","round_of_32","team_1","瑞典",1379,243,0.1379,0.176214648295867,0.0243
"M075","round_of_32","team_1","突尼斯",95,12,0.0095,0.126315789473684,0.0012
"M075","round_of_32","team_2","摩洛哥",4154,2557,0.4154,0.615551275878671,0.2557
"M075","round_of_32","team_2","巴西",3942,2258,0.3942,0.572805682394724,0.2258
"M075","round_of_32","team_2","苏格兰",1774,473,0.1774,0.26662908680947,0.0473
"M075","round_of_32","team_2","海地",130,31,0.013,0.238461538461538,0.0031
"M076","round_of_32","team_1","摩洛哥",5609,3898,0.5609,0.694954537350686,0.3898
"M076","round_of_32","team_1","巴西",3959,2492,0.3959,0.62945188178833,0.2492
"M076","round_of_32","team_1","苏格兰",350,119,0.035,0.34,0.0119
"M076","round_of_32","team_1","海地",82,26,0.0082,0.317073170731707,0.0026
"M076","round_of_32","team_2","荷兰",4122,1601,0.4122,0.388403687530325,0.1601
"M076","round_of_32","team_2","日本",3821,1595,0.3821,0.417429992148652,0.1595
"M076","round_of_32","team_2","瑞典",1971,257,0.1971,0.13039066463724,0.0257
"M076","round_of_32","team_2","突尼斯",86,12,0.0086,0.13953488372093,0.0012
"M077","round_of_32","team_1","法国",6441,5231,0.6441,0.812140971898773,0.5231
"M077","round_of_32","team_1","挪威",3349,2349,0.3349,0.701403404001194,0.2349
"M077","round_of_32","team_1","塞内加尔",174,107,0.0174,0.614942528735632,0.0107
"M077","round_of_32","team_1","伊拉克",36,10,0.0036,0.277777777777778,0.001
"M077","round_of_32","team_2","苏格兰",2543,425,0.2543,0.167125442390877,0.0425
