"group","current_rank","team","played","wins","draws","losses","goals_for","goals_against","goal_diff","points","remaining_matches","top2_status","status_basis"
"A",1,"墨西哥",2,2,0,0,3,0,3,6,1,"已锁定前二","积分情景穷举；同分净胜球保持未决"
"A",4,"南非",2,0,1,1,1,3,-2,1,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"A",2,"韩国",2,1,0,1,2,2,0,3,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"A",3,"捷克",2,0,1,1,2,3,-1,1,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"B",1,"加拿大",2,1,1,0,7,1,6,4,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"B",3,"波黑",2,0,1,1,2,5,-3,1,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"B",4,"卡塔尔",2,0,1,1,1,7,-6,1,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"B",2,"瑞士",2,1,1,0,5,2,3,4,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"C",3,"巴西",1,0,1,0,1,1,0,1,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"C",1,"摩洛哥",2,1,1,0,2,1,1,4,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"C",4,"海地",1,0,0,1,0,1,-1,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"C",2,"苏格兰",2,1,0,1,1,1,0,3,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"D",1,"美国",2,2,0,0,6,1,5,6,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"D",4,"巴拉圭",1,0,0,1,1,4,-3,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"D",2,"澳大利亚",2,1,0,1,2,2,0,3,1,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"D",3,"土耳其",1,0,0,1,0,2,-2,0,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
"E",1,"德国",1,1,0,0,7,1,6,3,2,"仍竞争前二","积分情景穷举；同分净胜球保持未决"
