"group","team","first","second","third","fourth","best_third","qualified"
"A","墨西哥",0.9636,0.0364,0,0,0,1
"A","南非",0,0.1845,0.3006,0.5149,0.0229,0.2074
"A","韩国",0.0364,0.7387,0.1996,0.0253,0.145,0.9201
"A","捷克",0,0.0404,0.4998,0.4598,0.086,0.1264
"B","加拿大",0.7244,0.2756,0,0,0,1
"B","波黑",0,0.0068,0.624,0.3692,0.3347,0.3415
"B","卡塔尔",0,3e-04,0.3689,0.6308,0.3659,0.3662
"B","瑞士",0.2756,0.7173,0.0071,0,0.0071,1
"C","巴西",0.3959,0.3942,0.1641,0.0458,0.1413,0.9314
"C","摩洛哥",0.5609,0.4154,0.0237,0,0.0236,0.9999
"C","海地",0.0082,0.013,0.0907,0.8881,0.0676,0.0888
"C","苏格兰",0.035,0.1774,0.7215,0.0661,0.5209,0.7333
"D","美国",0.9752,0.0232,0.0016,0,0.0016,1
"D","巴拉圭",4e-04,0.1385,0.2557,0.6054,0.1472,0.2861
"D","澳大利亚",0.0119,0.6907,0.2537,0.0437,0.2169,0.9195
"D","土耳其",0.0125,0.1476,0.489,0.3509,0.3115,0.4716
"E","德国",0.6488,0.2269,0.1236,7e-04,0.1224,0.9981
"E","库拉索",0.0011,0.0143,0.0677,0.9169,0.0317,0.0471
"E","科特迪瓦",0.3161,0.4924,0.1867,0.0048,0.1674,0.9759
"E","厄瓜多尔",0.034,0.2664,0.622,0.0776,0.506,0.8064
"F","荷兰",0.3973,0.4122,0.1452,0.0453,0.1284,0.9379
"F","日本",0.4553,0.3821,0.1316,0.031,0.1146,0.952
"F","瑞典",0.1379,0.1971,0.6338,0.0312,0.5806,0.9156
"F","突尼斯",0.0095,0.0086,0.0894,0.8925,0.0578,0.0759
"G","比利时",0.4209,0.2937,0.1885,0.0969,0.1492,0.8638
"G","埃及",0.2357,0.3162,0.2597,0.1884,0.2049,0.7568
"G","伊朗",0.2801,0.2547,0.3182,0.147,0.1761,0.7109
"G","新西兰",0.0633,0.1354,0.2336,0.5677,0.1283,0.327
"H","西班牙",0.7365,0.1864,0.0618,0.0153,0.05,0.9729
"H","佛得角",0.0456,0.2567,0.3078,0.3899,0.1865,0.4888
"H","沙特阿拉伯",0.0431,0.1731,0.3385,0.4453,0.2246,0.4408
"H","乌拉圭",0.1748,0.3838,0.2919,0.1495,0.1739,0.7325
"I","法国",0.6441,0.3188,0.0346,0.0025,0.0326,0.9955
"I","塞内加尔",0.0174,0.1684,0.6216,0.1926,0.4062,0.592
"I","伊拉克",0.0036,0.0153,0.1799,0.8012,0.087,0.1059
"I","挪威",0.3349,0.4975,0.1639,0.0037,0.1543,0.9867
"J","阿根廷",0.9006,0.0904,0.0081,9e-04,0.0081,0.9991
"J","阿尔及利亚",0.0103,0.3318,0.4606,0.1973,0.2921,0.6342
"J","奥地利",0.0871,0.5546,0.3424,0.0159,0.2651,0.9068
"J","约旦",0.002,0.0232,0.1889,0.7859,0.0869,0.1121
"K","葡萄牙",0.2148,0.4038,0.2583,0.1231,0.1568,0.7754
"K","民主刚果",0.0706,0.2226,0.3662,0.3406,0.2197,0.5129
"K","乌兹别克斯坦",0.0214,0.1596,0.297,0.522,0.1915,0.3725
"K","哥伦比亚",0.6932,0.214,0.0785,0.0143,0.0732,0.9804
"L","英格兰",0.9298,0.0572,0.0112,0.0018,0.0109,0.9979
"L","克罗地亚",0.0231,0.4994,0.2653,0.2122,0.1685,0.691
"L","加纳",0.0388,0.3289,0.4874,0.1449,0.3045,0.6722
"L","巴拿马",0.0083,0.1145,0.2361,0.6411,0.148,0.2708
