"team","elo_before_tournament","elo_after_observed","elo_change"
"美国",1770.63553050448,1822.55345363173,51.9179231272446
"瑞典",1643.08359011188,1684.27020943387,41.1866193219867
"加纳",1600.63182328028,1633.05177245608,32.4199491758043
"科特迪瓦",1772.19397375438,1799.79274528834,27.5987715339552
"墨西哥",1865.49623211223,1893.0332849669,27.5370528546698
"奥地利",1762.75497464011,1787.65905545435,24.9040808142449
"挪威",1794.03861784897,1818.82173061175,24.7831127627803
"英格兰",1937.23047598777,1956.95836198702,19.7278859992471
"法国",1981.98018574219,2000.19157283707,18.211387094877
"哥伦比亚",1911.42727856539,1929.082322564,17.6550439986031
"阿根廷",2028.56414765762,2045.47984966745,16.9157020098251
"德国",1878.4417643768,1890.57387179924,12.1321074224336
"佛得角",1612.20696038334,1623.39981862949,11.1928582461567
"苏格兰",1696.98964767829,1707.95184195188,10.9621942735851
"摩洛哥",1934.41424590008,1944.22923486368,9.81498896359653
"民主刚果",1693.75160159765,1700.93591505291,7.18431345526233
"新西兰",1656.28699743799,1663.21784649423,6.9308490562421
"沙特阿拉伯",1671.25599606641,1677.12449005709,5.8684939906791
"加拿大",1817.21311675043,1820.33736378871,3.12424703827219
"埃及",1769.00023372035,1771.70679223574,2.7065585153864
"瑞士",1809.689645116,1812.15563226256,2.46598714655624
"荷兰",1877.45835901202,1879.30920464995,1.85084563792839
"波黑",1502.95971958568,1503.30688866339,0.347169077708259
"巴西",1933.00063239716,1933.05372872691,0.0530963297544531
"日本",1927.06863302434,1925.21778738641,-1.85084563792839
"比利时",1842.11875562513,1839.41219710974,-2.7065585153864
"澳大利亚",1840.20624571018,1836.15381324974,-4.05243246044506
"韩国",1844.9897309165,1839.49242506936,-5.49730584714166
"乌拉圭",1839.52440932664,1833.65591533596,-5.8684939906791
"卡塔尔",1584.11733906428,1578.17993580174,-5.93740326253669
"伊朗",1861.85610652427,1854.92525746802,-6.9308490562421
"葡萄牙",1908.85945055623,1901.67513710097,-7.18431345526233
"南非",1661.17994371151,1651.51203210643,-9.6679116050841
"西班牙",2058.50246749668,2047.30960925052,-11.1928582461567
"库拉索",1587.50386184271,1575.37175442028,-12.1321074224336
"捷克",1673.33315941337,1660.96132401093,-12.371835402444
"阿尔及利亚",1857.18573857738,1840.27003656755,-16.9157020098251
"乌兹别克斯坦",1782.33752528183,1764.68248128322,-17.6550439986031
"塞内加尔",1860.90354799107,1842.69216089619,-18.211387094877
"克罗地亚",1837.40783496961,1817.67994897036,-19.7278859992471
"海地",1677.072142755,1656.24186318807,-20.830279566936
"巴拉圭",1735.99904980499,1712.71851776675,-23.2805320382397
"土耳其",1804.53557113327,1779.95061250471,-24.5849586285599
"伊拉克",1722.09229663284,1697.30918387006,-24.7831127627803
"约旦",1731.17083759943,1706.26675678519,-24.9040808142449
"厄瓜多尔",1860.58650609768,1832.98773456372,-27.5987715339552
"巴拿马",1776.62857423988,1744.20862506408,-32.4199491758043
"突尼斯",1716.95789633397,1675.77127701198,-41.1866193219867
