"outcome","bin","samples","mean_predicted_goals","mean_observed_goals"
"home",1,1451,0.713638923954291,0.623707787732598
"home",2,1450,0.99297253918812,0.977241379310345
"home",3,1450,1.14921833298461,1.09862068965517
"home",4,1451,1.2800384862687,1.3039283252929
"home",5,1450,1.40313462237655,1.38758620689655
"home",6,1450,1.52785206201582,1.56689655172414
"home",7,1451,1.67291668630431,1.72019297036527
"home",8,1450,1.86801373766964,1.90137931034483
"home",9,1450,2.18282351336574,2.2448275862069
"home",10,1451,3.28661942153768,3.22536181943487
"away",1,1451,0.457880137302384,0.435561681598897
"away",2,1450,0.644886176755965,0.632413793103448
"away",3,1450,0.756161453779944,0.760689655172414
"away",4,1451,0.848758419694158,0.864920744314266
"away",5,1450,0.939646884106054,0.944827586206897
"away",6,1450,1.03698133537306,1.00413793103448
"away",7,1454,1.15078238042175,1.12998624484182
"away",8,1447,1.30501476919754,1.33448514167243
"away",9,1450,1.5438005602686,1.56
"away",10,1451,2.44933200993326,2.46106133700896
