"team","group_exit","round_of_32","round_of_16","quarter_final","semi_final","final","champion"
"墨西哥",1,0.9765,0.6207,0.337,0.1685,0.0858,0.0412
"南非",1,0.3043,0.1129,0.0367,0.0088,0.0021,8e-04
"韩国",1,0.9408,0.5576,0.268,0.1206,0.0547,0.0217
"捷克",1,0.3888,0.1451,0.0453,0.0106,0.0025,2e-04
"加拿大",1,0.8339,0.4597,0.2334,0.1001,0.0442,0.0187
"波黑",1,0.4401,0.0779,0.0136,0.0012,2e-04,0
"卡塔尔",1,0.5526,0.1401,0.0365,0.0045,9e-04,1e-04
"瑞士",1,0.8345,0.4283,0.2006,0.0746,0.0316,0.0114
"巴西",1,0.891,0.538,0.3238,0.1881,0.1004,0.0524
"摩洛哥",1,0.8846,0.5261,0.321,0.1812,0.1006,0.0536
"海地",1,0.1616,0.0494,0.0164,0.0045,8e-04,2e-04
"苏格兰",1,0.7434,0.2446,0.087,0.0276,0.0074,0.0023
"美国",1,0.9617,0.5132,0.2258,0.0738,0.0274,0.0088
"巴拉圭",1,0.2746,0.1115,0.0413,0.0145,0.004,0.0012
"澳大利亚",1,0.9594,0.5587,0.2721,0.115,0.0489,0.0225
"土耳其",1,0.4895,0.2364,0.0987,0.04,0.0144,0.0052
"德国",1,0.9929,0.5914,0.2985,0.1565,0.071,0.0335
"库拉索",1,0.1076,0.0228,0.005,0.0014,4e-04,1e-04
"科特迪瓦",1,0.9312,0.4165,0.1647,0.0646,0.0222,0.0061
"厄瓜多尔",1,0.6966,0.362,0.1813,0.0899,0.0415,0.0167
"荷兰",1,0.864,0.4338,0.2368,0.1203,0.0591,0.0278
"日本",1,0.8925,0.5024,0.305,0.1662,0.087,0.0425
"瑞典",1,0.8798,0.2368,0.0687,0.0165,0.0046,6e-04
"突尼斯",1,0.1675,0.057,0.0214,0.0073,0.0021,3e-04
"比利时",1,0.7953,0.4365,0.2084,0.0858,0.0347,0.0155
"埃及",1,0.6482,0.2932,0.1166,0.0419,0.0134,0.0051
"伊朗",1,0.8073,0.4642,0.2289,0.1036,0.0474,0.0201
"新西兰",1,0.429,0.142,0.0386,0.0083,0.0023,8e-04
"西班牙",1,0.9759,0.6815,0.4868,0.3714,0.2501,0.1719
"佛得角",1,0.3237,0.0622,0.0159,0.003,2e-04,0
"沙特阿拉伯",1,0.4458,0.1154,0.0366,0.0112,0.0028,8e-04
"乌拉圭",1,0.7981,0.3385,0.1727,0.0882,0.0384,0.0146
"法国",1,0.8995,0.6222,0.3946,0.2519,0.1478,0.085
"塞内加尔",1,0.7233,0.3952,0.1941,0.0944,0.0445,0.0189
"伊拉克",1,0.4282,0.1633,0.0584,0.0207,0.0064,0.0015
"挪威",1,0.6086,0.2809,0.1171,0.0443,0.017,0.007
"阿根廷",1,0.9309,0.6235,0.4507,0.3205,0.2064,0.125
"阿尔及利亚",1,0.7147,0.3246,0.1722,0.0867,0.0372,0.0143
"奥地利",1,0.5192,0.1835,0.0746,0.0295,0.0106,0.0041
"约旦",1,0.465,0.1471,0.0567,0.0191,0.007,0.0028
"葡萄牙",1,0.8291,0.5129,0.276,0.1465,0.0764,0.0365
"民主刚果",1,0.3882,0.1384,0.0396,0.0129,0.0033,0.0011
"乌兹别克斯坦",1,0.6058,0.2777,0.1081,0.0411,0.0148,0.0043
"哥伦比亚",1,0.8407,0.5221,0.2895,0.1551,0.0801,0.0375
"英格兰",1,0.9041,0.5686,0.3167,0.1757,0.0915,0.0444
"克罗地亚",1,0.7822,0.3956,0.1782,0.0814,0.037,0.0149
"加纳",1,0.2846,0.0717,0.0161,0.0042,5e-04,0
"巴拿马",1,0.6832,0.2963,0.1143,0.0463,0.0164,0.006
